Area,Year,RiceProd,RiceProdLogDiff,RiceProdSD2,RiceProdSD3,RiceProdSD4,Population,PopulGrowth,PopulationSD2,PopulLogDiff,MalePopul,MalePopulGrowth,MalePopulSD2,MalePopulLogDiff,RuralPopul,RuralPopulGrowth,RuralPopulSD2,RuralPopulLogDiff,AgriLandShare,AgriLand,IrrigationEquippedLand,TempChange,tas,tasmax,tasmin,tr,tnn,txx,pr,rx1day,rx5day,fd,CattleMeatProd,CattleMeatProdLogDiff,CattleMeatProdSD2,CattleMeatProdSD3,CattleMeatProdSD4,CattleRawMilkProd,CattleRawMilkProdLogDiff,CattleRawMilkProdSD2,CattleRawMilkProdSD3,CattleRawMilkProdSD4,ChickensMeatProd,ChickensMeatProdLogDiff,ChickensMeatProdSD2,ChickensMeatProdSD3,ChickensMeatProdSD4,PotatoesProd,PotatoesProdLogDiff,PotatoesProdSD2,PotatoesProdSD3,PotatoesProdSD4,MaizeProd,MaizeProdLogDiff,MaizeProdSD2,MaizeProdSD3,MaizeProdSD4
Angola,1971,27791,-0.135403789,5263.702879,4703.905328,5897.436618,6177.049,3.038376416,132.7112149,0.012999007,3144.102,2.80490264,62.35903993,0.012013826,5844.414,1.419560627,58.6651141,0.006121725,36.24127697,45182,75,-0.097,21.35,28.24,14.51,2.45,13.61,30.1,87.21,10.5,29.48,0,43000,0,0,577.3502692,577.3502692,135000,0.015794267,3535.533906,3818.813079,4269.562819,6075,0.009545318,95.45941546,135,157.5,34000,0,0,577.3502692,577.3502692,404355,-0.004702826,3079.450032,16210.24393,14421.04387
Angola,1972,20347,0.154660701,6154.657423,6312.58299,5256.013025,6364.731,3.35440728,150.9665907,0.014329001,3232.291,3.130596843,71.55213519,0.013387531,5927.379,1.530963348,64.16711197,0.006598507,36.22363038,45160,75,-0.035,21.34,28.25,14.48,3.15,13.56,30.51,92.94,11.61,33.67,0,43000,0.009984221,707.1067812,577.3502692,4193.248542,140000,0.007686829,1767.766953,2500,3227.486122,6210,0.009340026,95.45941546,113.2475165,119.058809,34000,0.012589127,707.1067812,577.3502692,1414.213562,400000,0.031408464,21213.20344,17320.50808,24494.89743
Angola,1973,29051,-0.238395012,8677.614419,6362.617726,5285.143234,6578.23,3.409184537,158.5785952,0.014559113,3333.481,3.197138367,75.36061231,0.013667655,6018.125,1.591292969,67.71678801,0.006856488,36.20518168,45137,75,0.475,21.58,28.5,14.72,4.12,14.29,30.97,84.21,10.51,30.39,0,44000,0,0,4618.802154,4000,142500,0.007553138,1767.766953,2500,4269.562819,6345,0.006116925,63.63961031,68.73863542,76.85213074,35000,0,0,1732.050808,1500,430000,-0.031408464,21213.20344,25166.11478,23629.07813
Angola,1974,16779,0.076263922,2277.590942,1859.645217,1610.5,6802.494,3.384332276,162.7894161,0.014454727,3440.057,3.175528778,77.24434478,0.013576703,6113.891,1.620457414,70.05519013,0.006981145,36.18753509,45115,75,-0.158,21.13,27.93,14.39,2.44,13.46,29.88,94.05,10.91,31.66,0,44000,0.072550667,5656.854249,4618.802154,3862.210075,145000,0.007424018,1767.766953,5204.164999,4564.354646,6435,0.003026455,31.81980515,45,58.09475019,35000,-0.038918066,2121.320344,1732.050808,3316.62479,400000,0.051152522,35355.33906,28867.51346,47871.35539
Angola,1975,20000,0,0,0,2500,7032.713,3.328260374,165.510363,0.014219118,3549.297,3.118955669,78.27742778,0.013338506,6212.964,1.619082293,71.12999244,0.006975269,36.16988851,45093,80,-0.029,21.3,28.14,14.5,2.85,13.83,30.04,91.7,10.65,31.11,0,52000,-0.072550667,5656.854249,4358.898944,3593.976442,147500,-0.030489322,7071.067812,5204.164999,4564.354646,6480,0.00300551,31.81980515,45,58.09475019,32000,0.038918066,2121.320344,4041.451884,3316.62479,450000,0,0,57735.02692,47871.35539
Angola,1976,20000,0,0,2886.751346,3559.026084,7266.78,3.373089594,173.3224787,0.014407497,3659.998,3.171395176,82.07600541,0.013559303,6313.557,1.627450263,72.65522177,0.00701103,35.99101628,44870,80,-0.313,21.07,27.81,14.38,2.5,13.44,29.68,106.05,12.11,36.27,0,44000,0.009759837,707.1067812,1000,1290.994449,137500,0.007825338,1767.766953,3818.813079,5543.389457,6525,0.002984854,31.81980515,45,58.09475019,35000,0.057991947,3535.533906,2886.751346,2886.751346,450000,-0.109144469,70710.67812,50000,64549.72244
Angola,1977,20000,-0.124938737,3535.533906,3605.551275,3862.210075,7511.895,3.457117012,183.6320955,0.014760372,3776.071,3.267655719,87.24919862,0.013964318,6416.307,1.665568683,75.56708749,0.007173894,35.9733697,44848,80,0.272,21.55,28.42,14.74,3.49,14.24,30.49,93.67,11.85,34.62,0,45000,0.009545318,707.1067812,1000,1290.994449,140000,0.015239967,3535.533906,5000,6454.972244,6570,0.002964479,31.81980515,45,58.09475019,40000,-0.057991947,3535.533906,2886.751346,2500,350000,0.057991947,35355.33906,50000,41129.8756
Angola,1978,15000,-0.062147907,1414.213562,2000,2217.355783,7771.59,3.495140634,192.0700008,0.014919959,3899.46,3.31869028,91.50739566,0.014178892,6523.175,1.751325083,80.7812929,0.007540074,35.95492099,44825,80,0.037,21.32,28.07,14.63,2.82,13.88,30.39,71.48,10.6,28.83,0,46000,0.009340026,707.1067812,1000,1707.825128,145000,0.014723257,3535.533906,5000,4787.135539,6615,0.002944381,31.81980515,45,58.09475019,35000,0.057991947,3535.533906,2886.751346,2500,400000,-0.124938737,70710.67812,50332.22957,66017.6744
Angola,1979,13000,-0.072550667,1414.213562,1527.525232,1414.213562,8043.218,3.56609755,202.8187309,0.015217612,4028.871,3.401200982,96.89484223,0.014525583,6637.417,1.848203902,86.74291017,0.007953375,35.92925323,44793,80,0.291,21.57,28.43,14.76,3.53,14.27,30.96,96.87,10.74,31.8,0,47000,0.009143379,707.1067812,1527.525232,1825.741858,150000,0.014240439,3535.533906,2886.751346,2986.078811,6660,0.002924553,31.81980515,45,58.09475019,40000,0,0,0,0,300000,0.079181246,42426.40687,55075.70547,52281.29047
Angola,1980,11000,-0.041392685,707.1067812,577.3502692,1258.305739,8330.047,3.618346931,213.1290549,0.01543666,4165.901,3.465948903,102.0977339,0.014797445,6760.09,1.965728267,93.96388462,0.008454225,35.90679394,44765,80,0.279,21.5,28.37,14.69,3.56,14.02,31.29,73.42,10.02,28.32,0,48000,0.017728767,1414.213562,1527.525232,1707.825128,155000,0,0,1154.700538,1914.854216,6705,0.002904991,31.81980515,45,58.09475019,40000,0,0,0,0,360000,-0.158362492,77781.74593,63508.52961,52181.57401
Angola,1981,10000,0,0,1154.700538,1154.700538,8631.457,3.657493746,223.2300753,0.015600704,4310.289,3.51686395,107.1881956,0.015011107,6892.975,2.018925065,98.4038081,0.008680743,35.87711559,44728,80,-0.071,21.4,28.29,14.56,3.32,13.96,31.27,80.73,9.89,28.11,0,50000,0.008600172,707.1067812,1000,1290.994449,155000,0.005567954,1414.213562,2000,2581.988897,6750,0.002885688,31.81980515,45,58.09475019,40000,0,0,0,0,250000,0,0,14433.75673,11814.53907
Angola,1982,10000,-0.096910013,1414.213562,1154.700538,2061.552813,8947.152,3.683350858,233.0305753,0.015709024,4461.876,3.539699445,111.6783237,0.0151069,7032.139,1.938798422,96.40623144,0.00833951,35.85866688,44705,81.3,0.164,21.43,28.26,14.65,3.24,14.05,30.71,91.14,10.98,31.76,0,51000,0.008433168,707.1067812,1000,1290.994449,157000,0.005497472,1414.213562,2000,2986.078811,6795,0.002866641,31.81980515,45,45.59605246,40000,0,0,0,0,250000,0.041392685,17677.66953,12583.05739,11814.53907
Angola,1983,8000,0,0,1732.050808,1732.050808,9276.707,3.675819448,241.1198769,0.015677477,4619.813,3.529774906,115.3071957,0.01506527,7168.478,1.697891798,86.06408766,0.00731195,35.83700971,44678,81.3,0.487,21.78,28.7,14.9,4.27,14.26,31.26,89.68,11.07,31.61,0,52000,0.008272526,707.1067812,1000,2160.246899,159000,0.005428752,1414.213562,2516.611478,2449.489743,6840,0.002847843,31.81980515,28.93095228,37.01688804,40000,0,0,0,0,275000,-0.024359346,10606.60172,12583.05739,13768.92637
Angola,1984,8000,-0.204119983,2121.320344,1732.050808,2449.489743,9617.702,3.669473228,249.5514181,0.015650892,4782.882,3.535922484,119.5851917,0.015091057,7290.191,1.375601819,70.91149644,0.005933445,35.81455041,44650,81.3,0.631,21.74,28.61,14.92,3.58,14.38,30.92,97.4,10.98,32.55,0,53000,0.00811789,707.1067812,2081.665999,2061.552813,161000,0.008017972,2121.320344,1732.050808,1732.050808,6885,0.000567334,6.363961031,23.8117618,40.91454509,40000,0,0,0,0,260000,-0.017033339,7071.067812,15275.25232,22173.55783
Angola,1985,5000,0,0,1732.050808,1732.050808,9970.621,3.63019515,255.9394208,0.015486316,4952.001,3.509934671,122.9036439,0.014982034,7390.475,1.011842946,52.8774451,0.004372295,35.79690383,44628,81.3,0.694,21.64,28.48,14.85,3.2,13.51,30.91,80.13,11.01,32.56,0,54000,0.023481096,2121.320344,1732.050808,1500,164000,0,0,1732.050808,3774.917218,6894,0.002261956,25.45584412,40.58324778,54.6831784,40000,0,0,0,0,250000,0.049218023,21213.20344,25166.11478,20816.65999
Angola,1986,5000,-0.397940009,2121.320344,1732.050808,1414.213562,10332.574,3.498479662,255.6070806,0.01493397,5125.813,3.359642656,121.7701517,0.014350999,7465.255,0.715541532,37.77152293,0.003096492,35.73032807,44545,81.3,0.176,21.49,28.28,14.75,3.21,14.13,30.67,99.56,11.98,34.65,0,57000,0,0,0,500,164000,-0.008017972,2121.320344,4041.451884,6130.524719,6930,0.002810977,31.81980515,45,58.09475019,40000,0,0,0,2500,280000,0.029963223,14142.13562,15275.25232,41581.24577
Angola,1987,2000,0,0,577.3502692,577.3502692,10694.057,3.424369255,258.9453317,0.014622881,5298.022,3.274920338,122.6872692,0.013994869,7518.672,0.545708072,29.01259123,0.002363537,35.71268148,44523,82.2,0.689,22.01,28.96,15.12,5.11,14.71,31.6,90.55,10.7,30.79,0,57000,0,0,577.3502692,957.4271078,161000,-0.013701278,3535.533906,5507.570547,4497.032383,6975,0.0027929,31.81980515,45,58.09475019,40000,0,0,2886.751346,3201.562119,300000,-0.045757491,21213.20344,49112.11663,55937.46508
Angola,1988,2000,0.176091259,707.1067812,577.3502692,816.4965809,11060.261,3.428825052,268.1610544,0.014641591,5471.528,3.29825599,127.6080253,0.014092989,7559.702,0.550180417,29.40998524,0.002382854,35.69503489,44501,82.2,0.572,21.76,28.64,14.93,4.42,14.5,30.96,104.85,12.32,35.93,0,57000,0.007553138,707.1067812,1000,1290.994449,156000,-0.017033339,4242.640687,3354.857225,2893.924714,7020,0.002775054,31.81980515,45,58.09475019,40000,-0.057991947,3535.533906,3214.550254,2629.95564,270000,-0.121733597,46669.04756,46604.72079,55572.02534
Angola,1989,3000,0,0,577.3502692,577.3502692,11439.498,3.401722698,275.1635328,0.014527774,5651.993,3.280931169,131.1244673,0.014020145,7601.294,0.646600434,34.7542983,0.00279911,35.67658619,44478,82.2,-0.055,21.55,28.42,14.73,3.58,14.17,31.14,86.16,11.1,31.94,0,58000,0.007424018,707.1067812,1000,3593.976442,150000,0.015921125,3960.505081,2838.379878,3218.379548,7065,0.002757435,31.81980515,45,58.09475019,35000,-0.012589127,707.1067812,1000,2629.95564,204000,-0.054357662,16970.56275,62931.17934,69076.64825
Angola,1990,3000,0.124938737,707.1067812,577.3502692,500,11828.638,3.382071545,282.8801891,0.01444523,5837.431,3.292544272,135.9059233,0.014068975,7650.444,0.782137612,42.31114847,0.003383566,35.6589396,44456,82.2,0.687,21.74,28.66,14.88,4.16,14.69,31.17,100.89,11.72,34.11,0,59000,0.007299239,707.1067812,3785.938897,4447.182282,155601,-0.010168796,2546.291519,2579.547829,2547.737607,7110,0.002740037,31.81980515,45,76.85213074,34000,0.024823584,1414.213562,3055.050463,11604.59679,180000,0.220398683,84145.70696,75500.55187,61798.05822
Angola,1991,4000,0,0,0,8500,12228.691,3.302201356,285.541032,0.014109576,6029.631,3.226930471,137.5831806,0.013793013,7710.281,0.852368416,46.47105766,0.003686102,35.68059678,44483,82.2,0.341,21.56,28.49,14.68,3.61,14.33,30.88,93.71,11.04,32.79,0,60000,0.041392685,4242.640687,4187.828435,3422.927146,152000,0.014056064,3535.533906,2886.751346,4500,7155,0.002722858,31.81980515,68.73863542,67.5,36000,0.045757491,2828.427125,14000,11528.94907,299000,0.02947879,14849.2424,22516.6605,51867.61996
Angola,1992,4000,0,0,9814.954576,9273.618495,12632.507,3.212054424,286.9177689,0.013730423,6224.203,3.089536122,135.9759269,0.013214585,7776.001,0.819971602,45.08583548,0.003546571,35.70305607,44511,83.1,0.466,21.72,28.71,14.79,3.84,14.41,30.85,90.59,10.52,29.86,0,66000,0.01335439,1457.347076,1560.846031,5622.66725,157000,-0.014056064,3535.533906,5507.570547,5066.228051,7200,0.005395032,63.63961031,51.96152423,56.62375826,40000,-0.455931956,18384.77631,13000,10617.39924,320000,-0.065817284,31819.80515,60086.04941,56079.55658
Angola,1993,4000,0.720159303,12020.81528,9291.573243,7593.857167,13038.27,3.250132111,299.6442767,0.013890616,6416.502,3.115513718,141.3555953,0.01332401,7839.762,0.634968255,35.19977557,0.002748914,35.70225395,44510,83.1,0.256,21.6,28.44,14.81,3.93,14.56,30.91,100.87,13.12,36.69,0,68061,-0.019984969,2164.453857,6605.378137,6768.509462,152000,-0.017490732,4242.640687,3214.550254,7320.063752,7290,0,0,25.98076211,43.08421985,14000,0.285235728,9192.388155,7653.975002,6762.33441,275000,-0.136136636,52325.90181,40149.7198,90709.83358
Angola,1994,21000,-0.043465694,1414.213562,3605.551275,4203.173404,13462.031,3.344383919,318.3550292,0.014286881,6616.409,3.301836389,154.4766687,0.014108042,7889.542,0.975645988,54.42883738,0.00421664,35.70225395,44510,83.1,0.212,21.68,28.49,14.91,3.99,13.85,31.19,89.36,11.14,30.73,0,65000,-0.069395753,6787.517993,7868.392487,9210.439742,146000,0.002964479,707.1067812,8962.88644,13771.95217,7290,0.00267259,31.81980515,45,58.09475019,27000,0.00796893,353.5533906,500,1796.988221,201000,0.021086398,7071.067812,111055.0869,103415.8911
Angola,1995,19000,-0.132625565,3535.533906,3605.551275,3862.210075,13912.253,3.386202077,333.1158833,0.014462582,6834.872,3.41305587,164.9524557,0.014575372,7966.516,0.726917513,40.9485537,0.003145544,35.6862116,44490,83.1,0.753,21.98,28.83,15.18,4.85,14.71,31.58,91.61,11.6,31.84,0,55401,0.107740745,11030.15868,11149.33183,12523.13327,147000,0.04219768,10606.60172,14011.8997,18339.39294,7335,0.002656244,31.81980515,45,58.09475019,27500,0.007825338,353.5533906,2179.449472,1931.105038,211000,0.275772991,132340.691,100807.5282,121388.0943
Angola,1996,14000,-0.06694679,1414.213562,2000,2819.941075,14383.35,3.391393521,344.9238594,0.014484389,7068.15,3.417570368,170.808007,0.01459433,8024.426,0.552774741,31.36513549,0.002394059,35.65172054,44447,83.1,0.37,21.76,28.61,14.96,4.05,14.47,31.56,84.34,10.62,29.54,0,71000,0.035232376,4242.640687,7023.769169,6651.075402,162000,0.033523034,9192.388155,14011.8997,13771.95217,7380,0.002640096,31.81980515,45,76.85213074,28000,-0.06694679,2828.427125,2081.665999,3693.187907,398158,-0.032435127,20260.7306,71217.40316,58182.07064
Angola,1997,12000,-0.079181246,1414.213562,2305.472041,2755.531346,14871.146,3.333421648,350.5255594,0.01424081,7309.709,3.338450272,172.5559749,0.014261944,8068.783,0.47623043,27.17128517,0.002063333,35.6541269,44450,84.1,0.107,21.9,28.75,15.1,4.27,14.17,31.59,93.33,11.83,33.88,0,77000,0.042928201,5656.854249,4456.725854,6877.253013,175000,0.035715552,10606.60172,8962.88644,8770.214745,7425,0.002624144,31.81980515,68.73863542,139.3063172,24000,0.017728767,707.1067812,3152.400197,3213.243986,369505,0.135380285,95570.43122,67779.681,58754.30779
Angola,1998,10000,-0.130650919,1837.063418,2130.557673,2110.782852,15366.864,3.279062013,356.3033289,0.014012285,7553.74,3.25136952,173.6654255,0.013895821,8107.209,0.537336585,30.80369271,0.002327376,35.7046603,44513,84.1,1.064,22.17,29.02,15.38,6.09,15.23,31.76,97.21,11.38,31.7,0,85000,-0.003055897,421.4356416,5264.637626,5458.191978,190000,0.002279766,707.1067812,2645.751311,5488.642832,7470,0.005201194,63.63961031,137.4772708,181.4007993,25000,-0.116702048,4165.566048,3925.872769,67493.66112,504662,-0.071511176,54176.40025,56421.57914,46572.23907
Angola,1999,7402,-0.107721896,1149.755626,1088.641814,1095.597668,15870.753,3.297316769,370.0353426,0.014089041,7799.34,3.274777097,180.6028501,0.013994266,8150.772,0.678806866,39.12280399,0.00293806,35.74797465,44567,84.1,0.417,21.64,28.49,14.84,3.77,14.48,30.94,101.86,12.69,35.13,0,84404,0.045867589,6648.217957,5627.8203,5307.136956,191000,0.009001244,2828.427125,6708.619179,7609.700019,7560,0.010219165,127.2792206,158.0348063,192.2400843,19109,0.142826565,5261.581559,78353.11796,84815.03109,428045,-0.035324643,23644.23655,19517.79643,66788.92796
Angola,2000,5776,-0.034492761,311.8340905,443.0015049,2772.363973,16394.062,3.339776317,387.1586404,0.014267517,8054.751,3.324162348,189.329962,0.014201893,8206.1,0.84264145,48.89501971,0.003644213,35.71268148,44523,84.1,0.169,21.72,28.54,14.94,3.73,14.56,30.94,88.1,11.19,31.47,0,93806,0.003035714,465.276262,1237.903066,1173.633212,195000,-0.030181117,9256.939933,8620.560905,8540.956713,7740,0.007509602,95.45941546,135,157.5,26550,0.775657749,93223.54382,82845.91066,100170.3848,394607,0.036058593,24156.18186,79888.98812,103975.317
Angola,2001,5335,-0.037825565,314.6625176,3309.066384,4030.388815,16941.587,3.391370596,406.2696153,0.014484293,8322.504,3.381722616,199.0109609,0.014443764,8275.248,0.949856729,55.58071432,0.004105707,35.62605278,44415,84.1,0.295,21.9,28.75,15.1,4.2,14.59,30.91,95.7,11.35,32.41,0,94464,0.007917769,1228.951586,954.5223937,11681.52768,181908.71,-0.007636381,2241.966903,3184.460011,3001.950843,7875,0.007381954,95.45941546,113.2475165,169.8712748,158388,0.05406385,14847.12108,58862.14492,51983.24374,428769,0.10565278,83502.9469,95892.1951,81542.56726
Angola,2002,4890,0.345359697,4200.921387,4198.653395,3459.154557,17516.139,3.472243512,430.0644656,0.014823866,8603.948,3.495558086,212.6666071,0.014921711,8353.851,1.008840115,59.5928382,0.004359384,35.64450148,44438,85,0.735,21.98,28.81,15.19,4.46,14.74,31.14,102.03,11.86,33.6,0,96202,-0.000835968,130.8147545,13775.59931,11382.77255,178738.09,-0.007841489,2261.525476,3095.500203,12038.82798,8010,0.004852503,63.63961031,137.4772708,153.7042615,179385,0.176295384,63511.62398,46051.16619,53857.24729,546860,0.053592727,50787.23745,36066.28719,82216.72189
Angola,2003,10831,0.079274796,1533.714608,2175.002759,3922.978715,18124.342,3.568587483,457.3446453,0.015228053,8904.704,3.609339513,227.2648266,0.015398905,8438.128,0.996583602,59.46273055,0.004306683,35.69343066,44499,85,0.889,22.08,28.97,15.25,5.3,14.82,31.28,93.93,11.83,33.53,0,96017,-0.123510281,16805.80687,11887.38714,9709.962662,175539.81,0.01505019,4376.88491,13958.75016,12767.11419,8100,0.009545318,127.2792206,180,473.3920151,269204,-0.046364857,19275.02375,32824.80451,29033.35311,618684,-0.030293072,29475.03907,81534.46672,88712.22463
Angola,2004,13000,-0.176927245,3075.914498,4586.498701,4212.636625,18771.125,3.621700884,480.7152315,0.015450717,9226.105,3.664471627,239.0643174,0.015629938,8522.221,0.949247855,57.20281728,0.004103087,35.54183043,44310,85,0.414,21.81,28.65,15.02,4.54,14.49,30.79,95.42,11.57,32.96,0,72250,0.068840413,8775.195155,7224.228006,8136.548354,181729.66,0.046377331,14481.957,10815.91606,9330.035398,8280,-0.019305155,254.5584412,549.9090834,1281.24939,241945,0.103840256,46210.13526,34757.2384,108649.2848,577000,0.104740297,111278.8084,108583.5135,88674.44775
Angola,2005,8650,-0.353703955,3407.547579,2581.646826,2505.491103,19450.959,3.657305534,503.0223291,0.015599916,9564.193,3.698858858,250.1503376,0.015773977,8603.118,1.831684745,111.4273008,0.007882929,35.4399615,44183,85.5,1.021,22.22,29.1,15.39,5.18,14.98,31.56,93.54,10.89,31.48,0,84660,0.001040065,143.5356055,4064.950034,5915.09455,202210.24,-0.009137954,2977.089254,2105.994686,2859.758186,7920,0.055517328,763.6753237,1454.922678,2283.352798,307296,-0.017525891,8594.175819,109863.0205,91657.3846,734372,-0.144861016,147281.8572,104472.2958,93574.20879
Angola,2006,3831,0.082737586,568.5138521,2447.146161,4770.74602,20162.34,3.706633258,528.4520103,0.015806536,9917.959,3.746244565,262.7262317,0.015972385,8760.7,1.805917335,111.872071,0.007773022,35.40306409,44137,85.5,0.561,21.58,28.43,14.79,4.18,14.29,30.81,100.91,12,34.19,0,84862.99,0.034124352,4905.206812,6041.822538,5924.678221,198000,0.004364805,1414.213562,2254.624876,19802.41989,9000,0.079181246,1272.792206,2075.861267,2889.359791,295142,0.221241488,138645.255,98175.46348,228088.684,526084,0.06845088,63505.26002,88156.70041,191744.4694
